Season,rainfall,tmax,tmin,cloud,wind,humidity,dry_bulb
Winter,11.8783308906922,29.907246088160477,10.377408419683446,1.1541837424046097,3.1435011093964973,75.55769084770249,19.767627658408248
Pre-Monsoon,144.9225834096609,36.290928790714986,18.192719257921595,3.2322448559243924,4.2388241889353075,74.89311637686568,27.482378678399233
Monsoon,444.1268002043178,34.900827654035325,23.537503891860442,5.899273496783389,3.8583729797151074,85.5960082450885,28.43591474328087
Post-Monsoon,117.27500118513551,33.544844275149,17.65501313318629,2.5867907819345533,3.029609997916581,80.94793935275831,25.444462202993257
