Variable,D1 Mean,D2 Mean,D3 Mean,Δ(D3-D1),p-value,Sig.
Rainfall (mm),206.52,201.23,197.86,-8.66,0.0002,***
Tmax (°C),33.9,33.56,33.91,0.01,0.2137,ns
Tmin (°C),17.71,17.85,17.94,0.22,0.0002,***
Cloud (okta),3.5,3.51,3.46,-0.04,0.2335,ns
Wind (m/s),3.86,3.62,3.06,-0.8,0.0,***
Humidity (%),79.26,80.02,79.61,0.34,0.2227,ns
Dry-bulb (°C),25.53,25.44,25.59,0.06,0.0,***
