Season_Name,rainfall,tmax,tmin,cloud,wind,humidity,dry_bulb,Months
Winter,18.726,30.54,11.373,1.312,2.934,76.499,20.707,"Jan, Feb, Nov, Dec"
Pre-Monsoon,143.08,36.325,18.08,3.243,4.116,74.838,27.474,"Mar, Apr, May"
Monsoon,431.134,34.923,23.533,5.878,3.724,85.566,28.457,"Jun, Jul, Aug, Sep"
Post-Monsoon,194.681,34.557,20.158,3.396,3.157,82.969,27.158,Oct
