,Mean,Std Dev,Min,Max
rainfall,206.68,249.63,0.0,3001.0
tmax,33.77,2.93,25.2,44.0
tmin,17.93,5.52,3.0,26.4
cloud,3.49,2.09,0.0,8.0
wind,3.64,1.67,0.0,16.6
humidity,79.63,6.66,40.0,97.0
dry_bulb,25.53,3.82,13.2,32.0
