,Decade1,Decade2,Decade3
Jan,Winter,Winter,Winter
Feb,Winter,Winter,Winter
Mar,Pre-Monsoon,Pre-Monsoon,Post-Monsoon
Apr,Pre-Monsoon,Pre-Monsoon,Post-Monsoon
May,Pre-Monsoon,Pre-Monsoon,Pre-Monsoon
Jun,Monsoon,Monsoon,Monsoon
Jul,Monsoon,Monsoon,Monsoon
Aug,Monsoon,Monsoon,Monsoon
Sep,Monsoon,Monsoon,Monsoon
Oct,Post-Monsoon,Post-Monsoon,Pre-Monsoon
Nov,Post-Monsoon,Post-Monsoon,Winter
Dec,Winter,Winter,Winter
